projet,concours,chercheur,rôle,établissement,Pays,Province / Territoire
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Wesche, Sonia",Cocandidat,Université d'Ottawa,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Willows, Noreen",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Wrona, Fred",Collaborateur,University of Calgary,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pictou, Sherry",Cochercheur principal,Dalhousie University,Canada,Nouvelle-Écosse
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Moola, Faisal",Cocandidat,University of Guelph,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ahkimnachie, Kevin",Cocandidat,Treaty 8 First Nations of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ahnassay, James",Collaborateur,Dene Tha' First Nation (Region 5),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Alook, Sharlene",Collaborateur,Bigstone Cree First Nation (Region 11),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Andrew, Leon",Collaborateur,Sahtu Renewable Resources Board (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Betsina, Ernest",Collaborateur,Yellowknives Dene First Nations (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Duguid, Scott",Collaborateur,Government of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lafferty, George",Collaborateur,Tlicho Government/Government of Canada (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Noskey, Arthur",Collaborateur,Treaty 8 First Nations of Alberta (Region 11),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Raygorodetsky, Gleb",Collaborateur,Government of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Siwik, Paula",Collaborateur,Gouvernement du Canada,Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Wallet Mohamed Aboubakrine, Mariam",Cochercheur principal,Association Tinhinan Canada,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Loode, Olivier",Collaborateur,URALIC,Estonie,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Carroll, Clint",Cocandidat,University of Colorado Boulder,États-Unis,Colorado
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ticktin, Tamara",Collaborateur,University of Hawai'i at Manoa (Region 39),États-Unis,Hawaii
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Emery, Marla",Collaborateur,United States Department of Agriculture,États-Unis,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Reece, Cleo",Collaborateur,Fort McMurray First Nation (Region 11),États-Unis,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Guttorm, Hanna",Collaborateur,University of Helsinki (Region 22),Finlande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Porsanger, Jelena",Collaborateur,University of Helsinki (Region 22),Finlande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Seurujarvi, Irja",Collaborateur,University of Helsinki (Region 22),Finlande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Silan (GAO), Wasiq (I-An 高怡安)",Collaborateur,University of Helsinki (Region 32),Finlande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Barla, Nicholas",Collaborateur,"CBCI - Office of Tribal Affairs, Indigenous Peoples Forum(Region 29)",Inde,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"jojo, Bipin",Cocandidat,Tata Institute of Social Sciences,Inde,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Chowdhury, Ashok",Collaborateur,All India Union of Forest Working Group (Region 29),Inde,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ekka, Vincent",Cocandidat,Indian Social Institute,Inde,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Malik, Roma",Collaborateur,All India Union of Forest Working Group (Region 29),Inde,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Roth, Geoffrey",Collaborateur,Indian Health for Urban Indian Programs/UNPFII (Region 37),Inde,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"ⴱⵓⵣⴰⵅⵅⴰⵔ Bouzakhar, ⵎⴰⴷⵖⵉⵙ Madghis",Cocandidat,TIRA Research & Studies,Libye,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Sanogo, Rokia",Cocandidat,"Université des Sciences, des Techniques et des Technologies de Bamako (USTTB)",Mali,Bamako
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"BADI, Dida",Cocandidat,"Centre de ressources de Kidal (CRK), Région de Kidal",Mali,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Diallo, Aminata",Collaborateur,Kel Tamached Nation (Region 26),Mali,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gómez, Amaranta",Collaborateur,Comité Internacional de Pueblos Indígenas frente al VIH/sida (Region 38),Mexique,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Zapeta, Teresa",Collaborateur,FIMI - IIWF (Region 38),Mexique,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Jones, Carwyn",Cocandidat,Te Herenga Waka - Victoria University of Wellington,Nouvelle-Zélande,Wellington
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Malinen, Sanna",Collaborateur,University of Canterbury,Nouvelle-Zélande,Chirstchurch
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Davis, Tane",Collaborateur,Te Runanga o Ngai Tahu (Region 34),Nouvelle-Zélande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lyver, Phil",Collaborateur,Manaaki Whenua - Landcare Research (Region 34),Nouvelle-Zélande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ngamane, Liane",Cocandidat,Hauraki Iwi Collective,Nouvelle-Zélande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Scott, Nigel",Cocandidat,Te Runanga o Ngai Tahu,Nouvelle-Zélande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Weisheit, Anke",Collaborateur,Pharm-Bio Technology and Traditional Medicine Center (PHARMBIOTRAC),Ouganda,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Feodoroff, Pauliina",Collaborateur,Snowchange Collective (Region 22),Russie,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Mustonen, Kaisu",Collaborateur,Snowchange Collective (Region 22),Russie,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Mustonen, Tero",Cocandidat,Snowchange Cooperative,Russie,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Zinsstag, Jakob",Collaborateur,Swiss Tropical and Public Health,Suisse,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lu, Dau-Jaye",Collaborateur,National Taiwan University (Region 32),Taïwan,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Trakansuphakon, Nutdanai",Collaborateur,Indigenous Knowledge and Peoples Foundation (IKAP) (Region 31),Thaïlande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Trakansuphakon, Prasert",Cocandidat,Pgakenyaw Association for Sustainable Development-PASD,Thaïlande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gandiwa, Edson",Cocandidat,Chinhoyi University of Technology,Zimbabwe,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Korlach, Jonas",Collaborateur,Pacific Biosciences,États-Unis,Californie
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Macdonald, Tara",Collaborateur,Biologica Environmental,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Peterson, Eric",Collaborateur,Hakai Insitute,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ozdemiroglu, Ece",Collaborateur,Economics For The Environment Consultancy,Angleterre,Londres
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Fishback, Leanne",Collaborateur,Churchill Northern Studies Centre,Canada,Manitoba
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Mizrachi, Illene",Collaborateur,National Centre for Biological Information,États-Unis,Maryland
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hausmann, Axel",Cocandidat,Bavarian State Collection of Zoology,Allemagne,Munich
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lacroix, Colette",Collaborateur,IBM,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"McDivitt, Tina",Collaborateur,Spindle,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ratnasingham, Sujeevan",Collaborateur,Multiplex Genomics,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Shimura, Junko",Collaborateur,Secretariat of the Convention on Biological Diversity,Canada,Québec
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Miller, Scott",Cocandidat,National Museum of Natural History,États-Unis,Washington
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Janion-Scheepers, Charlene",Cocandidat,University of Cape Town,Afrique du Sud,Cap-Occidental
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"van der Bank, Michelle",Cocandidat,University of Johannesburg,Afrique du Sud,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Leese, Florian",Cochercheur principal,Universität Duisburg-Essen,Allemagne,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Godfray, Charles",Cochercheur principal,Oxford University,Angleterre,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Vogler, Alfried",Cochercheur principal,Imperial College London,Angleterre,Londres
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lawniczak, Mara",Cochercheur principal,Wellcome Sanger Institute,Angleterre,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Tubaro, Pablo",Cocandidat,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",Argentine,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Stevens, Mark",Cocandidat,South Australian Museum,Australie,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Szucsich, Nikolaus",Cocandidat,Naturhistorisches Museum Wien,Autriche,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lipinskaya, Tatsiana",Cocandidat,Scientific and Practical Center for Bioresources of the National Academy of Sciences of Belarus,Biélorussie,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Oliveira, Guilherme",Cocandidat,Vale Institute of Technology,Brésil,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Baum, Julia",Cochercheur principal,University of Victoria,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Castle, David",Cochercheur principal,University of Victoria,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Chang, Angel",Cochercheur principal,Simon Fraser University,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Clare, Elizabeth",Cochercheur principal,Université York,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Cristescu, Melania",Cochercheur principal,Université McGill,Canada,Québec
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Fieguth, Paul",Cocandidat,University of Waterloo,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Gonzalez, Andrew",Cochercheur principal,Université McGill,Canada,Québec
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Green, Stephanie",Cocandidat,University of Alberta,Canada,Alberta
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hajibabaei, Mehrdad",Cochercheur principal,University of Guelph,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hebert, Paul",Chercheur principal désigné,University of Guelph,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Kari, Lila",Cocandidat,University of Waterloo,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lindo, Zoe",Cocandidat,Western University,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"McIlwraith, Thomas",Cocandidat,University of Guelph,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ozsu, M. Tamer",Cochercheur principal,University of Waterloo,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Packer, Laurence",Cocandidat,Université York,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Rehan, Sandra",Cocandidat,Université York,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Taylor, Graham",Cochercheur principal,University of Guelph,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Tremblay, Crystal",Cocandidat,University of Victoria,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Day, Andrew",Collaborateur,BC Parks Foundation,Canada,Colombie-Britannique
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hendriks, Elizabeth",Collaborateur,World Wildlife Fund Canada,Canada,Nouvelle-Écosse
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hogg, Ian",Collaborateur,Savoir polaire Canada,Canada,Nunavut
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Marcotte, Michele",Collaborateur,Agriculture et agroalimentaire Canada,Canada,Ontario
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Seutin, Gilles",Collaborateur,Parcs Canada,Canada,Québec
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Leclerc, Yves",Collaborateur,McCain Foods Ltd,Canada,Nouveau-Brunswick
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Liu, Chenxi",Cocandidat,"Institute of Plant Protection, Chinese Academy of Agricultural Sciences",Chine,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Gonzalez, Mailyn",Cocandidat,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Colombie,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Miller, Joseph",Collaborateur,Global Biodiversity Information Facility,Danemark,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Layton, Kara",Cocandidat,University of Aberdeen,Écosse,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hollingsworth, Peter",Cocandidat,Royal Botanic Garden Edinburgh,Écosse,Edinburgh
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Janzen, Daniel",Cochercheur principal,University of Pennsylvania,États-Unis,Pennsylvanie
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ovaskainen, Otso",Cochercheur principal,University of Helsinki,Finlande,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Rougerie, Rodolphe",Cocandidat,Muséum national d'Histoire naturelle,France,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Chandra, Kailash",Collaborateur,Zoological Survey of India,Inde,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Dapporto, Leonardo",Cocandidat,Università degli Studi di Firenze,Italie,Florence
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Bou Dagher Kharrat, Magda",Cocandidat,Université Saint-Joseph de Beyrouth,Liban,Beyrouth
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Valdez-Moreno, Martha Elena",Cocandidat,El Colegio de la Frontera Sur,Mexique,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ekrem, Torbjorn",Cocandidat,Norges Teknisk-Naturvitenskapelige Universitet,Norvège,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Wood, Susie",Cocandidat,Cawthron Institute,Nouvelle-Zélande,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ahmed, Nazeer",Cocandidat,Balochistan University of Information Technology Engineering and management sciences,Pakistan,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ramirez, Rina",Cocandidat,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,Pérou,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Fontanilla, Ian Kendrich",Cocandidat,"University of the Philippines, Diliman",Philippines,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Grabowski, Michał",Cocandidat,Uniwersytet Lódzki,Pologne,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Pawlowski, Jan",Cocandidat,"Institute of Oceanology, Polish Academy of Sciences",Pologne,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Costa, Filipe",Cocandidat,University of Minho,Portugal,Braga
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ichim, Mihael",Cocandidat,National Institute of Research and Development for Biological Sciences,Roumanie,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Kautmanova, Ivona",Cocandidat,Slovak National Museum-Natural History Museum,Slovaquie,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Roslin, Tomas",Collaborateur,Sveriges lantbruksuniversitet,Suède,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Deiner, Kristy",Cocandidat,ETH Zurich,Suisse,
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Butcher, Buntika",Cocandidat,Chulalongkorn University,Thaïlande,Bangkok
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Keskin, Emre",Cocandidat,Ankara University,Turquie,Ankara
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Christie-Burns, Heather",Collaborateur,Pembina Pipeline Corporation,Canada,Alberta
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Reimer, Alice",Collaborateur,Creative Destruction Lab,Canada,Alberta
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Roldán Cuenya, Beatriz",Collaborateur,Fritz Haber Institute of the Max Planck Society,Allemagne,Berlin
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Baker, Sarah E.",Collaborateur,Lawrence Livermore National Laboratory,États-Unis,Californie
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Holmes, Geoff",Collaborateur,Carbon Engineering,Canada,Colombie-Britannique
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Kirby, Peter",Collaborateur,Taku River Tlingit,Canada,Colombie-Britannique
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Reed, Marty",Collaborateur,Evok Innovations,Canada,Colombie-Britannique
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Casimirri, Giuliana",Collaborateur,Green Venture,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Cathcart, Chad",Collaborateur,STELCO,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"LeClair, Kerry",Collaborateur,City of Hamilton,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Pereira, Bruno",Collaborateur,Northwest Territories Power Corporation,Canada,Territoires du Nord-Ouest
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Cullen, Bill",Collaborateur,ATCO Electric Yukon,Canada,Yukon
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Tizya-Tramm, Erika",Collaborateur,Vuntut Gwitchin First Nation Government,Canada,Yukon
CANSTOREnergy: Seasonal storage of renewable energy,2022,"MacDowell, Niall",Collaborateur,Imperial College London,Angleterre,Londres
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Li, Fengwang",Collaborateur,University of Sydney,Australie,
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Azimi, Gisele",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Bazylak, Aimy",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Bergerson, Joule",Cocandidat,University of Calgary,Canada,Alberta
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Berlinguette, Curtis",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Besco, Laurel",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Birss, Viola",Cocandidat,University of Calgary,Canada,Alberta
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Bullock, Ryan",Cocandidat,University of Winnipeg,Canada,Manitoba
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Franco, April",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Galloway, Tracey",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Higgins, Drew",Cochercheur principal,McMaster University,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Hoicka, Christina",Cocandidat,University of Victoria,Canada,Colombie-Britannique
CANSTOREnergy: Seasonal storage of renewable energy,2022,"MacLean, Heather",Cochercheur principal,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Neville, Kate",Cochercheur principal,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Papineau, Maya",Cocandidat,Carleton University,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Ross, Michael",Cocandidat,Yukon University,Canada,Yukon
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Sargent, Edward",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Seferos, Dwight",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Silas, David",Cocandidat,Yukon University,Canada,Yukon
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Singh, Chandra Veer",Cocandidat,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Sinton, David",Chercheur principal désigné,University of Toronto,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Teelucksingh, Cheryl",Cocandidat,Toronto Metropolitan University,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Wu, Yimin",Cocandidat,University of Waterloo,Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Zurba, Melanie",Cocandidat,Dalhousie University,Canada,Nouvelle-Écosse
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Andre, Shane",Collaborateur,Yukon Government,Canada,Yukon
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Cumming, Rob",Collaborateur,Lafarge Canada Inc (East),Canada,Ontario
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Hall, Andrew",Collaborateur,Yukon Energy,Canada,Yukon
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Hagelqvist, Niels Erik",Collaborateur,Nukissiorfiit,Groenland,
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Chen, Chang-Yi (Vincent)",Collaborateur,City of Hope,États-Unis,Californie
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Domian, Ibrahim",Collaborateur,BlueRock Therapeutics,États-Unis,New-York
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Haller, Christoph",Cochercheur principal,Hospital for Sick Children,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Husain, Mansoor",Collaborateur,Ted Rogers Centre for Heart Research,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"May, Michael",Collaborateur,Centre for Commercialization of Regenerative Medicine,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Yoo, Shi-Joon",Cocandidat,Hospital for Sick Children,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Lindsay, Patrice",Collaborateur,Heart and Stroke Foundation,Canada,Québec
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Marchese, Diego",Collaborateur,Heart and Stroke Foundation,Canada,Québec
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Valverde, Israel",Collaborateur,Hospital Universitario Virgen del Rocio,Espagne,Séville
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Biktashev, Vadim",Cochercheur principal,University of Exeter,Angleterre,
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Noiseux, Nicolas",Cocandidat,Centre hospitalier de l'université de Montréal,Canada,Québec
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Amon, Cristina",Cocandidat,University of Toronto,Canada,Ontario
