projet,concours,chercheur,établissement,type affiliation
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Newell, William",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Parrish, Christopher",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Perez, Mery",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Rise, Matthew",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Santander, Javier",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Thomas, Raymond",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Vodden, Kelly",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Randell, Edward",Memorial University/Eastern Health,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lepine, Melody",Mikisew Cree First Nation (Region 11),Premières nations
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Luhovyy, Bohdan",Mount Saint Vincent University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ratnasingham, Sujeevan",Multiplex Genomics,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Tubaro, Pablo","Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",Institution muséale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Rougerie, Rodolphe",Muséum national d'Histoire naturelle,Institution muséale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Hogan, Joella",Nacho Nyak Dun First Nation (Region 4),Premières nations
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Mizrachi, Illene",National Centre for Biological Information,Organisation nationale / Internationale
Inclusive Design for Employment Access (IDEA),2020,"Smith, Frank",National Educational Association of Disabled Students (NEADS),Organisation nationale / Internationale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ichim, Mihael",National Institute of Research and Development for Biological Sciences,Organisation nationale / Internationale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Miller, Scott",National Museum of Natural History,Institution muséale
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Gallant, Danick",National Research Council,Industriel / Corporatif
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Morel, Alban",National Research Council,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lu, Dau-Jaye",National Taiwan University (Region 32),Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Chen, Xiaoyuan",National university of singapore,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Tsosie, Krystal",Native BioData Consortium,Premières nations
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Szucsich, Nikolaus",Naturhistorisches Museum Wien,Institution muséale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Parent, Brendan",New York University Grossman School of Medicine,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ekrem, Torbjorn",Norges Teknisk-Naturvitenskapelige Universitet,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Pereira, Bruno",Northwest Territories Power Corporation,Industriel / Corporatif
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Yan, Li",NRCan,Instance gouvernementale
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Hagelqvist, Niels Erik",Nukissiorfiit,Organisation nationale / Internationale
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Diamond, Sara",OCAD University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Coppin, Peter",OCAD University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Treviranus, Jutta",OCAD University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Veres, Angelika",OCAD University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Wyndham-West, Catherine",OCAD University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Bartis, Jami","One Fire Associates, LLC (Region 36)",Industriel / Corporatif
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Munoz, Douglas",Ontario Neurodegenerative Disease Research Initiative,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Sousa, Drew",Ontario Occupational Health Nurses Association,Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Marshall, Craig",OrganOx,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Godfray, Charles",Oxford University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Korlach, Jonas",Pacific Biosciences,Industriel / Corporatif
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Heldebrant, David",Pacific Northwest National Laboratory,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Seutin, Gilles",Parcs Canada,Organisation nationale / Internationale
Rare Isotopes to Transform Cancer Therapy,2022,"van der Meulen, Nicholas",Paul Sherrer Institute (PSI),Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Christie-Burns, Heather",Pembina Pipeline Corporation,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Trakansuphakon, Prasert",Pgakenyaw Association for Sustainable Development-PASD,ONG
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Weisheit, Anke",Pharm-Bio Technology and Traditional Medicine Center (PHARMBIOTRAC),Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Longo, Frank",PharmatrophiX,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Crowshoe, Reg",Piikani First Nation (Region 19),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Provost, Ira",Piikani Nation (Region 19),Premières nations
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Noonan, Vanessa",Praxis Spinal Cord Institute,OBNL
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Tsannie, Joseph",Prince Albert Grand Council (Region 12),Premières nations
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Berlin, Alejandro",Princess Margaret Cancer Center and the University of Toronto,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Williams, Eugene",ProMIS Neurosciences,Industriel / Corporatif
Inclusive Design for Employment Access (IDEA),2020,"Tiano, Carmine",Provincial Building & Construction Trades Council of Ontario,Instance gouvernementale
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Broomell, Stephen",Purdue University,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Amos, Kelsey",Purple Mai'a Foundation,Fondation
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Kealoha, Donavan",Purple Mai'a Foundation,Fondation
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Capicciotti, Chantelle",Queen's University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Crudden, Cathleen",Queen's University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Dancey, Janet",Queen's University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"McLean, Alastair",Queen's University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Stamplecoskie, Kevin",Queen's University,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"McGill, Iain",Quell Therapeutics,Industriel / Corporatif
Inclusive Design for Employment Access (IDEA),2020,"Gallant, Don","Ready, Willing and Able",Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Gavsie, Ronnie",Réseau trillium pour le don de vie,Instance gouvernementale
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Moran, Kate",Réseaux océan Canada,Instance gouvernementale
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Tour, James",Rice University,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Hansen, Rick",Rick Hansen Foundation,Fondation
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Miyawaki, Atsushi",RIKEN,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hollingsworth, Peter",Royal Botanic Garden Edinburgh,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Blondi-Andrew, Ethel",Sahtu Dene (Region 5),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Andrew, Leon",Sahtu Renewable Resources Board (Region 5),Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Simmons, Deborah",Sahtu' Renewable Resources Board,Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Charles, Anthony",Saint Mary's University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Sayin, Firat",Saint Mary's University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Yellowbird, Kacey",Samson Cree Nation (Region 11),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Napoleon, Art",Saulteau First Nations (Region 15),Premières nations
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hogg, Ian",Savoir polaire Canada,Organisation nationale / Internationale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lipinskaya, Tatsiana",Scientific and Practical Center for Bioresources of the National Academy of Sciences of Belarus,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Ooms, Maarten",SCK CEN,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Van der Voorde, Michiel",SCK CEN,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Sarikhani, Kaveh",SealForLife,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Shimura, Junko",Secretariat of the Convention on Biological Diversity,Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Moctar, Abdourahmane Ag",Self-employed,Autre
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Rasic, Daniel",Semiconductor Research Corporation (SRC),Industriel / Corporatif
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Miller, Marc",Services aux Autochtones Canada,Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Arbachakov, Luba",Shor Nation (Region 23),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gislason, Maya",Simon Fraser University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"O'Neil, John",Simon Fraser University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Chang, Angel",Simon Fraser University,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Maine, Elicia",Simon Fraser University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Holdcroft, Steven",Simon Fraser University,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Ramogida, Caterina",Simon Fraser University,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Rogers, Ian",Sinai Health System,Hôpital
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Kautmanova, Ivona",Slovak National Museum-Natural History Museum,Institution muséale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Feodoroff, Pauliina",Snowchange Collective (Region 22),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Mustonen, Kaisu",Snowchange Collective (Region 22),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Andreeva, Tamara",Snowchange Collective (Region 24),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Mustonen, Tero",Snowchange Cooperative,Premières nations
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kim, Joseph",Société canadienne de transplantation,Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Sher, Graham",Société canadienne du sang,Organisation nationale / Internationale
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"McGuiness, Christine",Solvay,Industriel / Corporatif
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Breen, Jimmy",South Australian Health & Medical Research Institute,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Stevens, Mark",South Australian Museum,Institution muséale
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"McBride, Chris",Spinal Cord Injury BC,OBNL
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"McDivitt, Tina",Spindle,Industriel / Corporatif
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Brouwer, Eric",SQI Diagnostics,Industriel / Corporatif
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Cathcart, Chad",STELCO,Industriel / Corporatif
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Edwards, Aled",Structural Genomics Consortium,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Badger, Jim",Sucker Creek First Nation (Region 11),Premières nations
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Aubert, Isabelle",Sunnybrook Research Institute,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Hynynen, Kullervo",Sunnybrook Research Institute,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Leong, Hon",Sunnybrook Research Institute,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Schuurmans, Carol",Sunnybrook Research Institute,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Stefanovic, Bojana",Sunnybrook Research Institute,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"McLaurin, JoAnne",Sunnybrook Research Institute,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Black, Sandra",Sunnybrook Research Institute,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Yang, Victor",Sunnybrook Research Institute,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Grimm, Holly",Sustia LLC,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Roslin, Tomas",Sveriges lantbruksuniversitet,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Zinsstag, Jakob",Swiss Tropical and Public Health,Instance gouvernementale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kledal, Thomas",Synklino,Industriel / Corporatif
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Kirby, Peter",Taku River Tlingit,Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"jojo, Bipin",Tata Institute of Social Sciences,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Jones, Carwyn",Te Herenga Waka - Victoria University of Wellington,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Scott, Nigel",Te Runanga o Ngai Tahu,Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Davis, Tane",Te Runanga o Ngai Tahu (Region 34),Premières nations
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Smith, Linda",Te Whare Wananga o Awanuiarangi,Premières nations
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Temara, Pou",Te Whare Wananga o Awanuiarangi,Premières nations
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Gepstein, Lior",Technion- Israel Institute of Technology,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Husain, Mansoor",Ted Rogers Centre for Heart Research,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pascal, Wanda",Tetlit Zheh - Tetlit Gwich'in Council (Region 5),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pictou, Kara",The Confederacy of Mainland Mi'kmaq (Region 17),Premières nations
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Coates, Gary",The Nickel Institute,Industriel / Corporatif
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Blakney, Anna",The University of British Columbia,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Reid, Andrea",The University of British Columbia,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Berlinguette, Curtis",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Cheung, Karen",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Cretu, Edmond",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Ko, Frank",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Kwon, Brian",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Laule, Cornelia",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"MacLachlan, Mark",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Madden, John",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Rohling, Robert",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Rossi, Fabio",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Shadgan, Babak",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Shahriari, Dena",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Sorensen, Poul",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Tetzlaff, Wolfram",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Wolf, Michael",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Ye, Ziliang",The University of British Columbia,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Steinø, Anne",The University of British Columbia,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Bénard, François",The University of British Columbia,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Lin, Kuo-Shyan",The University of British Columbia,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Perrin, David",The University of British Columbia,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Reid, Gregor",The University of British Columbia,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Cashman, Neil",The University of British Columbia,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Galea, Liisa",The University of British Columbia,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Smith-Merry, Jennifer",The University of Sydney,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Zheng, Jie",The University of Texas at Dallas,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Kondo, Takeo",The University of Tokyo,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Tsukuda, Tatsuya",The University of Tokyo,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"ⴱⵓⵣⴰⵅⵅⴰⵔ Bouzakhar, ⵎⴰⴷⵖⵉⵙ Madghis",TIRA Research & Studies,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Davies, Jed",Tissue Regeneration Therapeutics,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Zoe, John B.",Tlicho Government (Region 5),Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lafferty, George",Tlicho Government/Government of Canada (Region 5),Instance gouvernementale
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Teelucksingh, Cheryl",Toronto Metropolitan University,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Tavallaei, Mohammad",Toronto Metropolitan University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Cukier, Wendy",Toronto Metropolitan University,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Mangat, Rick",Traferox Technologies,Industriel / Corporatif
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Gleason, Jim",Transplant Recipients International Organization,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ahkimnachie, Kevin",Treaty 8 First Nations of Alberta,Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Noskey, Arthur",Treaty 8 First Nations of Alberta (Region 11),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Furgal, Christopher",Trent University,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Hoehr, Cornelia",TRIUMF,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Radchenko, Valery",TRIUMF,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Schaffer, Paul",TRIUMF,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Yang, Hua",TRIUMF,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Wiseman, Frances",UK Dementia Research Institute,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Goupil, Sébastien",UNESCO,Organisation nationale / Internationale
Inclusive Design for Employment Access (IDEA),2020,"Sairanen, Sari",UNIFOR,Syndicat
Inclusive Design for Employment Access (IDEA),2020,"Lopez-Bastos, Emmanuelle",United Food and Commercial Workers Canada (UFCW - Canada),Syndicat
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Filmer-Wilson, Emilie",United Nations Population Fund,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Emery, Marla",United States Department of Agriculture,Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Rothblatt, Martine",United Therapeutics,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ramirez, Rina",UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Castro, Diogo",Universidade do Porto,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Silvano, Renato",Universidade Federal do Rio Grande do Sul,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Dapporto, Leonardo",Università degli Studi di Firenze,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Leese, Florian",Universität Duisburg-Essen,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Igloliorte, Heather",Université Concordia,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Lewis, Jason",Université Concordia,Académique / Recherche
